,№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
0,1,Callum Wilson,F,30,2548,14,9,2.3,1.09,16.02+2.02,5.96-3.04,0.57,0.21
1,2,Joshua King,F M,35,2987,12,3,2.17,1.11,13.55+1.55,4.26+1.26,0.41,0.13
2,3,Ryan Fraser,F M,38,3185,7,14,1.44,2.63,4.76-2.24,16.18+2.18,0.13,0.46
3,4,David Brooks,F M,30,2317,7,5,1.59,1.17,6.47-0.53,5.88+0.88,0.25,0.23
4,5,Nathan Aké,D M,38,3414,4,0,0.66,0.18,4.55+0.55,1.32+1.32,0.12,0.03
5,6,Dan Gosling,M,25,1729,2,1,1.09,0.47,2.39+0.39,0.96-0.04,0.12,0.05
6,7,Junior Stanislas,D M,23,1016,2,3,3.01,1.33,3.10+1.10,2.49-0.51,0.27,0.22
7,8,Jefferson Lerma,M,30,2527,2,0,1.1,0.53,1.09-0.91,1.01+1.01,0.04,0.04
8,9,Steve Cook,D,31,2788,1,1,0.68,0.36,1.46+0.46,1.15+0.15,0.05,0.04
9,10,Charlie Daniels,D M,21,1587,1,0,0.68,0.62,0.62-0.38,0.46+0.46,0.04,0.03
10,11,Jordon Ibe,M,19,799,1,1,1.01,1.13,0.78-0.22,0.42-0.58,0.09,0.05
11,12,Adam Smith,D M,25,2080,1,1,0.3,0.48,0.60-0.40,0.58-0.42,0.03,0.02
12,13,Lys Mousset,F,24,308,1,0,3.51,1.17,1.53+0.53,0.29+0.29,0.45,0.09
13,14,Artur Boruc,GK,12,1080,0,0,0.0,0.0,0.00,0.00,0.0,0.0
14,15,Simon Francis,D,17,1220,0,2,0.22,0.74,0.12+0.12,0.60-1.40,0.01,0.04
15,16,Andrew Surman,M,18,1440,0,0,0.56,0.63,0.27+0.27,0.48+0.48,0.02,0.03
16,17,Nathaniel Clyne,D,14,1156,0,1,0.16,0.31,0.18+0.18,0.10-0.90,0.01,0.01
17,18,Asmir Begovic,GK,24,2160,0,0,0.0,0.0,0.00,0.00,0.0,0.0
18,19,Jermain Defoe,S,4,13,0,0,6.92,0.0,0.13+0.13,0.00,0.91,0.0
19,20,Tyrone Mings,D,5,137,0,0,0.0,0.66,0.00,0.06+0.06,0.0,0.04
20,21,Dominic Solanke,F,10,322,0,1,3.07,2.24,0.80+0.80,0.36-0.64,0.22,0.1
21,22,Lewis Cook,M,13,718,0,0,0.5,0.25,0.13+0.13,0.06+0.06,0.02,0.01
22,23,Diego Rico,D M,12,600,0,0,1.35,1.65,0.18+0.18,1.22+1.22,0.03,0.18
23,24,Sam Surridge,S,2,9,0,0,20.0,10.0,0.38+0.38,0.04+0.04,3.79,0.38
24,25,Jack Simpson,D,6,407,0,0,0.44,0.0,0.37+0.37,0.00,0.08,0.0
25,26,Emerson Hyndman,S,1,34,0,0,0.0,0.0,0.00,0.00,0.0,0.0
26,27,Chris Mepham,D,13,850,0,1,0.21,0.21,0.05+0.05,0.69-0.31,0.01,0.07
27,28,Mark Travers,GK,2,180,0,0,0.0,0.0,0.00,0.00,0.0,0.0
