Overall,,,,,,,,Attacking,,,,,,,,,,,,Defending,,,,,,,,,,,,Raw Shot Stats,,,,
Pos,Club,xGF,F,xGA,A,xGD,GD,OP xG,OP G,FKT xG,FKT G,Cor xG,Cor G,DFK xG,DFK G,Pen xG,Pen G,Head xG,Head G,OP xG,OP G,FKT xG,FKT G,Cor xG,Cor G,DFK xG,DFK G,Pen xG,Pen G,Head xG,Head G,Sh F,SF Qual,Sh A,SA Qual,TSR
1,Man City,51,55,18,17,32,38,37.35,50,2.13,0,4.4,3,1.2,1,1.56,1,5.33,6,6.03,9,1.84,2,2.76,3,0.19,0,2.34,3,3.23,5,390,0.13,148,0.123,0.72
2,Liverpool,48,52,20,13,28,39,20.84,37,4.18,0,7.88,9,1,1,3.89,5,7.02,7,12.54,10,0.6,0,2.9,3,0.46,0,0.78,0,2.95,1,350,0.137,188,0.108,0.65
3,Chelsea,39,39,22,19,17,20,22.84,32,2.39,0,6.19,3,1.35,0,3.11,4,5.44,3,12.57,16,2.18,0,4.27,3,0.35,0,0,0,4.18,3,360,0.108,205,0.109,0.64
4,Arsenal,37,44,29,31,8,13,21.93,35,1.16,0,4.55,6,0.42,2,0.78,1,3.32,3,17.75,25,3.58,0,2.14,1,0.66,0,3.89,5,4.41,6,288,0.128,282,0.103,0.51
5,Tottenham,34,45,29,22,5,23,14.21,34,1.62,0,6.89,7,1.03,1,2.34,3,6.52,10,16.7,16,2.05,0,4.74,3,0.38,0,2.34,3,5.83,7,286,0.119,271,0.108,0.51
6,Man Utd,38,46,34,31,4,15,15.07,34,3.43,0,5.54,5,1.14,2,5.45,5,4.45,4,12.92,20,4.29,0,5.8,6,0.91,1,3.11,4,6.88,5,309,0.122,305,0.112,0.5
7,Leicester,30,26,28,29,2,-3,13.99,19,1.44,0,6.84,2,0.87,1,3.89,4,8.99,5,11.45,21,3.29,2,4.98,3,0.75,0,2.34,3,5.56,4,286,0.105,268,0.104,0.52
8,Watford,30,31,28,29,2,2,14.64,24,3.16,2,4.67,4,1.21,0,0.78,1,4.46,6,9.93,19,2.83,2,4.84,3,0.68,2,3.11,3,6.17,7,274,0.111,265,0.107,0.51
9,Crystal Palace,30,22,30,32,0,-10,16.05,15,1.78,0,5.06,2,0.83,0,4.67,5,4.34,2,10.54,21,2.31,2,5.66,5,0.85,1,3.11,3,6.49,4,289,0.105,289,0.105,0.5
10,Everton,31,34,31,31,0,3,13.16,26,2.29,0,5.16,4,0.9,2,3.11,2,7.43,9,8.95,23,5.16,0,6.61,6,0.77,1,2.34,1,7.75,7,296,0.103,258,0.12,0.53
11,Wolves,28,27,28,28,-1,-1,15.04,20,0.8,0,4.52,4,0.85,1,1.56,2,5.19,4,12.58,22,3.43,0,5.81,3,1.02,1,1.56,2,5.24,4,290,0.096,295,0.096,0.5
12,Bournemouth,32,33,35,40,-4,-7,11.39,23,3.11,0,6.59,5,0.8,0,4.67,5,5.7,9,22.38,35,1.76,0,5.56,3,1.15,0,1.56,2,3.93,7,280,0.113,306,0.116,0.48
13,Southampton,30,24,36,37,-6,-13,15.52,17,1.28,0,5.41,2,0.84,1,3.89,4,4.29,3,21.41,33,3.94,0,5.83,3,0.78,0,0.78,1,6.02,6,303,0.099,314,0.114,0.49
14,Cardiff,31,19,37,44,-7,-25,6.58,12,7.28,4,8.62,2,0.65,0,1.56,1,7.65,3,11.91,32,1.67,2,8.87,7,0.89,1,3.89,2,5.06,6,244,0.126,339,0.11,0.42
15,West Ham,29,29,37,33,-8,-4,17.99,26,2.53,0,5.31,2,0.71,0,0.78,1,5.59,1,18.14,25,2.41,0,7.3,7,0.9,0,1.56,1,7.08,6,270,0.109,296,0.126,0.48
16,Huddersfield,20,12,30,36,-10,-24,1.9,3,4.31,6,4.18,2,0.5,1,0,0,4.58,5,15.06,29,2.34,0,4.64,2,1.22,2,3.11,3,4.83,6,251,0.079,269,0.113,0.48
17,Fulham,24,20,39,46,-15,-26,15.06,18,1.12,0,4.32,1,0.52,0,1.56,1,5.83,4,22.76,39,1.37,0,5.61,4,0.66,1,3.11,2,5.34,1,266,0.089,326,0.118,0.45
18,Newcastle,22,18,37,30,-15,-12,11.88,15,2.52,0,3.05,3,0.72,0,0.78,0,5.63,9,11.69,18,2.74,0,9.47,7,1.91,2,2.34,3,9.32,9,249,0.088,319,0.116,0.44
19,Burnley,25,21,41,42,-16,-21,6.96,14,4.77,2,5.98,5,0.62,0,0,0,5.97,6,22.34,34,1.91,0,7.57,6,0.57,1,1.56,1,6.7,7,216,0.117,409,0.1,0.35
20,Brighton,25,25,41,32,-16,-7,3.07,12,2.41,0,6.45,9,0.43,0,3.89,4,5.81,6,17.81,19,4.01,4,6.25,2,1.49,0,5.45,7,6.57,4,210,0.12,355,0.116,0.37
