,Player Name,Team,Position,Assists,Bonus,Bonus Points System,Clean sheets,Cost,Creativity,Form,Goals conceded,Goals scored,ICT Index,Influence,Minutes played,Own goals,Penalties missed,Penalties saved,Points per match,Price fall,Price fall (round),Price rise,Price rise (round),Pts.,Red cards,Round points,Saves,Sel.,Threat,Times in Dream Team,Transfers in,Transfers in (round),Transfers out,Transfers out (round),Value (form),Value (season),Yellow cards, 
AaronsNEWMID,Aarons,NEW,MID,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AaronsNORDEF,Aarons,NOR,DEF,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AbrahamCHEFWD,Abraham,CHE,FWD,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Adam SmithBOUDEF,Adam Smith,BOU,DEF,1.0,1.0,383.0,8.0,4.5,199.8,0.0,33.0,1.0,68.5,374.0,2067.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,70.0,1.0,0.0,0.0,1.7%,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
AdamsSOUFWD,Adams,SOU,FWD,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AgüeroMCIFWD,Agüero,MCI,FWD,11.0,26.0,740.0,17.0,12.0,523.7,0.0,15.0,21.0,315.4,946.6,2457.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,19.8%,1685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
AjetiWHUFWD,Ajeti,WHU,FWD,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AkéBOUDEF,Aké,BOU,DEF,1.0,8.0,716.0,10.0,5.0,125.9,0.0,70.0,4.0,156.8,1002.0,3411.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,19.3%,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
AlbrightonLEIMID,Albrighton,LEI,MID,2.0,4.0,279.0,5.0,5.5,446.8,0.0,17.0,2.0,106.1,371.2,1617.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.3%,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
AlderweireldTOTDEF,Alderweireld,TOT,DEF,0.0,7.0,651.0,12.0,5.5,139.1,0.0,31.0,0.0,105.7,690.2,2921.0,1.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,7.5%,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
Alexander-ArnoldLIVDEF,Alexander-Arnold,LIV,DEF,13.0,25.0,753.0,16.0,7.0,837.4,0.0,14.0,1.0,184.7,734.4,2460.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,185.0,0.0,0.0,0.0,24.7%,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
AlissonLIVGKP,Alisson,LIV,GKP,0.0,9.0,771.0,21.0,6.0,0.1,0.0,22.0,0.0,67.6,677.0,3420.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,176.0,0.0,0.0,76.0,32.5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
AlliTOTMID,Alli,TOT,MID,4.0,8.0,356.0,8.0,8.5,436.6,0.0,21.0,5.0,158.5,467.2,1822.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,1.1%,681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
AlmirónNEWMID,Almirón,NEW,MID,2.0,0.0,107.0,3.0,6.0,189.8,0.0,11.0,0.0,54.6,121.4,758.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.9%,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AlonsoCHEDEF,Alonso,CHE,DEF,8.0,21.0,702.0,14.0,6.5,520.1,0.0,28.0,2.0,161.7,619.0,2759.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,4.9%,475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,
