,№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
0,1,Jamie Vardy,F,34,2740,18,4,2.59,1.05,19.12+1.12,5.14+1.14,0.63,0.17
1,2,James Maddison,F M,36,2877,7,7,2.6,3.13,7.37+0.37,7.94+0.94,0.23,0.25
2,3,Demarai Gray,F M,34,2009,4,1,2.11,0.76,4.56+0.56,0.98-0.02,0.2,0.04
3,4,Wes Morgan,D,22,1932,3,0,0.65,0.14,1.54-1.46,0.14+0.14,0.07,0.01
4,5,Harry Maguire,D,31,2599,3,0,1.04,0.38,1.86-1.14,0.67+0.67,0.06,0.02
5,6,Youri Tielemans,M,13,1098,3,4,2.54,1.31,2.06-0.94,2.50-1.50,0.17,0.21
6,7,Marc Albrighton,F M,27,1625,2,2,1.05,1.61,1.06-0.94,2.99+0.99,0.06,0.17
7,8,Ricardo Pereira,D F M,35,3129,2,6,0.72,0.95,1.18-0.82,5.13-0.87,0.03,0.15
8,9,Wilfred Ndidi,M,38,3305,2,0,1.5,0.6,3.12+1.12,1.69+1.69,0.08,0.05
9,10,Kelechi Iheanacho,F M,30,911,1,3,1.78,1.28,2.58+1.58,1.34-1.66,0.25,0.13
10,11,Jonny Evans,D,24,1993,1,0,0.5,0.23,0.53-0.47,0.28+0.28,0.02,0.01
11,12,Rachid Ghezzal,F M,19,731,1,0,2.34,1.97,1.37+0.37,1.73+1.73,0.17,0.21
12,13,Harvey Barnes,F M,16,1014,1,2,3.55,1.51,3.62+2.62,1.93-0.07,0.32,0.17
13,14,Kasper Schmeichel,GK,38,3420,0,0,0.03,0.03,0.08+0.08,0.29+0.29,0.0,0.01
14,15,Danny Simpson,D,6,288,0,0,0.0,0.31,0.00,0.03+0.03,0.0,0.01
15,16,Christian Fuchs,D,3,204,0,0,0.88,2.65,0.06+0.06,0.20+0.20,0.03,0.09
16,17,Shinji Okazaki,F,21,249,0,1,1.81,0.36,0.28+0.28,0.11-0.89,0.1,0.04
17,18,Daniel Amartey,D,9,637,0,0,0.57,0.42,0.47+0.47,0.11+0.11,0.07,0.02
18,19,Ben Chilwell,D M,36,3240,0,4,0.61,1.25,0.97+0.97,3.07-0.93,0.03,0.09
19,20,Nampalys Mendy,M,31,2085,0,0,0.09,0.22,0.07+0.07,0.22+0.22,0.0,0.01
20,21,Vicente Iborra,M,8,220,0,0,0.82,0.41,0.27+0.27,0.10+0.10,0.11,0.04
21,22,Caglar Söyüncü,D,6,373,0,0,0.48,0.0,0.06+0.06,0.00,0.01,0.0
22,23,Fousseni Diabate,M,1,55,0,0,0.0,1.64,0.00,0.08+0.08,0.0,0.12
23,24,Hamza Choudhury,M,9,597,0,0,0.6,0.75,0.47+0.47,0.51+0.51,0.07,0.08
24,25,Adrien Silva,M,2,86,0,0,0.0,0.0,0.00,0.00,0.0,0.0
