,№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
0,1,Sergio Agüero,F,33,2515,21,8,4.22,1.22,19.95-1.05,5.23-2.77,0.71,0.19
1,2,Raheem Sterling,F M,34,2788,17,10,2.49,2.13,15.91-1.09,10.79+0.79,0.51,0.35
2,3,Leroy Sané,F M,31,1866,10,10,2.7,1.93,6.98-3.02,8.10-1.90,0.34,0.39
3,4,Riyad Mahrez,F M,27,1333,7,4,3.65,1.62,6.62-0.38,5.01+1.01,0.45,0.34
4,5,Bernardo Silva,F M,36,2851,7,7,1.96,2.24,8.20+1.20,8.63+1.63,0.26,0.27
5,6,Gabriel Jesus,F,29,993,7,3,3.9,1.9,12.62+5.62,2.65-0.35,1.14,0.24
6,7,Ilkay Gündogan,M,31,2133,6,3,1.81,1.81,4.21-1.79,4.97+1.97,0.18,0.21
7,8,David Silva,M,33,2426,6,8,1.89,2.71,8.13+2.13,10.11+2.11,0.3,0.38
8,9,Aymeric Laporte,D,35,3059,3,3,0.76,0.38,3.75+0.75,0.84-2.16,0.11,0.02
9,10,Kevin De Bruyne,M,19,965,2,2,2.89,3.36,1.47-0.53,6.65+4.65,0.14,0.62
10,11,Vincent Kompany,D,17,1221,1,0,0.37,0.07,0.24-0.76,0.07+0.07,0.02,0.01
11,12,Fernandinho,D M,29,2397,1,3,1.13,0.83,1.72+0.72,3.13+0.13,0.06,0.12
12,13,Kyle Walker,D,33,2774,1,1,0.68,0.78,0.73-0.27,1.94+0.94,0.02,0.06
13,14,Danilo,D,11,806,1,0,1.56,0.45,0.42-0.58,0.13+0.13,0.05,0.01
14,15,Phil Foden,M,13,316,1,0,3.99,2.28,2.25+1.25,1.07+1.07,0.64,0.31
15,16,John Stones,D M,24,1763,0,0,0.26,0.26,0.16+0.16,0.22+0.22,0.01,0.01
16,17,Nicolás Otamendi,D,18,1233,0,0,1.09,0.15,1.18+1.18,0.29+0.29,0.09,0.02
17,18,Fabian Delph,D,11,723,0,1,0.5,0.37,0.07+0.07,0.39-0.61,0.01,0.05
18,19,Oleksandr Zinchenko,D M,14,1153,0,3,0.55,0.94,0.21+0.21,1.72-1.28,0.02,0.13
19,20,Benjamin Mendy,D M,10,900,0,5,0.7,1.2,0.23+0.23,2.05-2.95,0.02,0.2
20,21,Ederson,GK,38,3420,0,1,0.0,0.08,0.00,0.07-0.93,0.0,0.0
