,№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90
0,1,Ayoze Pérez,F M,37,2950,12,2,1.68,1.37,8.29-3.71,4.03+2.03,0.25,0.12
1,2,Salomón Rondón,F,32,2616,11,7,3.06,1.1,10.64-0.36,3.41-3.59,0.37,0.12
2,3,Fabian Schär,D,24,2007,4,1,1.12,0.49,2.17-1.83,0.74-0.26,0.1,0.03
3,4,Ciaran Clark,D,11,850,3,0,0.74,0.21,0.47-2.53,0.05+0.05,0.05,0.01
4,5,Matt Ritchie,D M,36,2965,2,8,1.24,1.82,4.44+2.44,5.11-2.89,0.13,0.16
5,6,Joselu,F,16,565,2,0,2.71,0.32,1.81-0.19,0.01+0.01,0.29,0.0
6,7,Yoshinori Muto,F M,17,512,1,0,1.05,0.88,1.02+0.02,0.31+0.31,0.18,0.06
7,8,Kenedy,D M,25,1347,1,1,2.07,0.73,2.41+1.41,0.82-0.18,0.16,0.05
8,9,DeAndre Yedlin,D M,29,2476,1,2,0.4,1.02,1.19+0.19,2.15+0.15,0.04,0.08
9,10,Jonjo Shelvey,M,16,932,1,1,2.22,2.41,0.72-0.28,1.86+0.86,0.07,0.18
10,11,Christian Atsu,M,28,1464,1,0,1.72,1.11,2.15+1.15,1.76+1.76,0.13,0.11
11,12,Isaac Hayden,D M,25,1865,1,4,1.06,1.06,0.86-0.14,2.45-1.55,0.04,0.12
12,13,Sean Longstaff,M,9,694,1,0,1.04,0.65,0.75-0.25,0.60+0.60,0.1,0.08
13,14,Federico Fernández,D,19,1486,0,1,0.24,0.3,0.08+0.08,0.43-0.57,0.01,0.03
14,15,Ki Sung-yueng,M,18,1302,0,1,0.55,1.11,0.15+0.15,1.08+0.08,0.01,0.07
15,16,Jamaal Lascelles,D,32,2751,0,1,0.36,0.1,0.40+0.40,1.20+0.20,0.01,0.04
16,17,Paul Dummett,D,26,1976,0,0,0.41,0.18,0.28+0.28,0.35+0.35,0.01,0.02
17,18,Antonio Barreca,S,1,3,0,0,0.0,0.0,0.00,0.00,0.0,0.0
18,19,Javier Manquillo,D M,18,1098,0,3,0.16,0.66,0.08+0.08,0.68-2.32,0.01,0.06
19,20,Mohamed Diamé,M,29,2172,0,0,0.83,0.08,1.05+1.05,0.13+0.13,0.04,0.01
20,21,Florian Lejeune,D,12,1057,0,0,0.6,0.51,0.28+0.28,0.29+0.29,0.02,0.02
21,22,Jacob Murphy,M,9,293,0,1,0.61,0.31,0.03+0.03,0.61-0.39,0.01,0.19
22,23,Martin Dubravka,GK,38,3420,0,0,0.0,0.0,0.00,0.00,0.0,0.0
23,24,Miguel Almirón,F M,10,774,0,0,2.21,1.51,1.59+1.59,0.69+0.69,0.19,0.08
