,Unnamed: 0_x,Player Name,Team,Position,Assists,Bonus,Bonus Points System,Clean sheets,Cost,Creativity,Form,Goals conceded,Goals scored,ICT Index,Influence,Minutes played,Own goals,Penalties missed,Penalties saved,Points per match,Price fall,Price fall (round),Price rise,Price rise (round),Pts.,Red cards,Round points,Saves,Sel.,Threat,Times in Dream Team,Transfers in,Transfers in (round),Transfers out,Transfers out (round),Value (form),Value (season),Yellow cards, ,Team Name,Unnamed: 0_y,№,Player,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,xG90,xA90,Last Name
0,AubameyangARSFWD,Aubameyang,ARS,FWD,7.0,32.0,756.0,7.0,11.0,484.6,0.0,42.0,22.0,289.6,984.4,2722.0,0.0,1.0,0.0,5.7,0.0,0.0,0.0,0.0,205.0,0.0,0.0,0.0,25.3%,1429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Arsenal,0,1,Pierre-Emerick Aubameyang,F M,36,2740,22,5,3.09,1.08,23.55+1.55,4.99-0.01,0.77,0.16,Aubameyang
1,BellerínARSDEF,Bellerín,ARS,DEF,5.0,5.0,304.0,4.0,5.5,197.8,0.0,21.0,0.0,73.7,261.6,1532.0,1.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.2%,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,Arsenal,18,19,Héctor Bellerín,D M,19,1539,0,5,1.05,0.47,0.96+0.96,2.46-2.54,0.06,0.14,Bellerín
2,ElnenyARSMID,Elneny,ARS,MID,0.0,0.0,59.0,0.0,4.5,76.7,0.0,5.0,0.0,22.7,86.6,377.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.5%,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Arsenal,19,20,Mohamed Elneny,M,8,383,0,0,1.64,1.17,0.45+0.45,0.22+0.22,0.11,0.05,Elneny
3,GuendouziARSMID,Guendouzi,ARS,MID,0.0,0.0,321.0,3.0,4.5,312.4,0.0,32.0,0.0,76.6,323.2,2140.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,4.6%,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,,Arsenal,24,25,Matteo Guendouzi,M,33,2132,0,0,0.68,0.72,0.48+0.48,1.50+1.50,0.02,0.06,Guendouzi
4,HoldingARSDEF,Holding,ARS,DEF,0.0,5.0,148.0,1.0,4.5,28.7,0.0,10.0,0.0,23.2,187.8,806.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.2%,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,Arsenal,22,23,Rob Holding,D,10,807,0,0,0.22,0.22,0.12+0.12,0.17+0.17,0.01,0.02,Holding
5,IwobiARSMID,Iwobi,ARS,MID,8.0,3.0,382.0,4.0,6.0,596.7,0.0,32.0,3.0,171.1,469.0,1961.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,1.2%,646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Arsenal,7,8,Alex Iwobi,F M,35,1974,3,6,1.6,1.82,3.72+0.72,7.64+1.64,0.17,0.35,Iwobi
6,JenkinsonARSDEF,Jenkinson,ARS,DEF,0.0,0.0,16.0,0.0,4.5,16.9,0.0,3.0,0.0,5.2,26.8,165.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.1%,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Arsenal,20,21,Carl Jenkinson,M,3,166,0,0,0.0,0.54,0.00,0.06+0.06,0.0,0.03,Jenkinson
7,KolasinacARSDEF,Kolasinac,ARS,DEF,7.0,10.0,382.0,5.0,5.5,445.9,0.0,29.0,0.0,101.0,323.2,1886.0,1.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,2.2%,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,Arsenal,16,17,Sead Kolasinac,D M,24,1897,0,5,0.43,1.47,0.41+0.41,6.74+1.74,0.02,0.32,Kolasinac
8,KoscielnyARSDEF,Koscielny,ARS,DEF,0.0,8.0,319.0,3.0,5.0,29.5,0.0,23.0,3.0,59.1,456.4,1329.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.6%,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,Arsenal,6,7,Laurent Koscielny,D,17,1326,3,0,0.34,0.14,2.11-0.89,0.12+0.12,0.14,0.01,Koscielny
9,LacazetteARSFWD,Lacazette,ARS,FWD,12.0,20.0,560.0,6.0,9.5,482.4,0.0,31.0,13.0,260.6,808.0,2497.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,166.0,0.0,0.0,0.0,5.0%,1319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,Arsenal,1,2,Alexandre Lacazette,F,35,2498,13,8,2.92,1.12,12.03-0.97,4.10-3.90,0.43,0.15,Lacazette
10,LenoARSGKP,Leno,ARS,GKP,0.0,5.0,568.0,6.0,5.0,0.0,0.0,42.0,0.0,80.5,807.2,2835.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,106.0,0.0,0.0,105.0,4.8%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Arsenal,15,16,Bernd Leno,GK,32,2833,0,0,0.0,0.0,0.00,0.00,0.0,0.0,Leno
11,Maitland-NilesARSDEF,Maitland-Niles,ARS,DEF,1.0,3.0,152.0,2.0,5.0,98.9,0.0,20.0,1.0,44.8,224.2,983.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,34.0,1.0,0.0,0.0,1.0%,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,Arsenal,13,14,Ainsley Maitland-Niles,D M,16,976,1,1,0.46,0.55,1.02+0.02,1.06+0.06,0.09,0.1,Maitland-Niles
12,MavropanosARSDEF,Mavropanos,ARS,DEF,0.0,0.0,28.0,0.0,4.5,14.1,0.0,1.0,0.0,5.2,27.0,147.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1%,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,Arsenal,26,27,Konstantinos Mavropanos,D,4,149,0,0,1.21,0.6,0.10+0.10,0.57+0.57,0.06,0.34,Mavropanos
13,MkhitaryanARSMID,Mkhitaryan,ARS,MID,4.0,12.0,354.0,3.0,7.0,454.9,0.0,26.0,6.0,150.2,446.4,1637.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,2.7%,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,Arsenal,2,3,Henrikh Mkhitaryan,F M,25,1647,6,4,2.68,1.58,5.34-0.66,6.49+2.49,0.29,0.35,Mkhitaryan
14,MonrealARSDEF,Monreal,ARS,DEF,4.0,7.0,392.0,5.0,5.0,196.6,0.0,24.0,1.0,83.4,413.2,1860.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,1.1%,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,Arsenal,11,12,Nacho Monreal,D M,22,1857,1,3,0.34,0.53,1.23+0.23,2.01-0.99,0.06,0.1,Monreal
15,MustafiARSDEF,Mustafi,ARS,DEF,0.0,5.0,475.0,6.0,5.5,106.0,0.0,40.0,2.0,107.8,718.6,2611.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.6%,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,,Arsenal,9,10,Shkodran Mustafi,D,31,2629,2,0,0.62,0.21,1.86-0.14,0.28+0.28,0.06,0.01,Mustafi
16,NketiahARSFWD,Nketiah,ARS,FWD,0.0,1.0,36.0,0.0,4.5,14.7,0.0,3.0,1.0,11.4,40.8,63.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,4.3%,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Arsenal,14,15,Eddie Nketiah,S,5,54,1,0,5.0,1.67,0.27-0.73,0.13+0.13,0.45,0.22,Nketiah
17,SokratisARSDEF,Sokratis,ARS,DEF,2.0,4.0,402.0,5.0,5.0,67.9,0.0,33.0,1.0,70.4,513.8,2198.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,1.4%,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,,Arsenal,10,11,Sokratis,D,25,2198,1,2,0.45,0.2,0.83-0.17,0.63-1.37,0.03,0.03,Sokratis
18,TorreiraARSMID,Torreira,ARS,MID,4.0,6.0,409.0,5.0,5.0,301.0,0.0,38.0,2.0,94.5,440.8,2377.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,78.0,1.0,0.0,0.0,2.1%,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,Arsenal,8,9,Lucas Torreira,M,34,2366,2,2,0.95,0.61,1.80-0.20,1.71-0.29,0.07,0.07,Torreira
19,WelbeckWATFWD,Welbeck,WAT,FWD,1.0,3.0,63.0,0.0,6.0,56.8,0.0,3.0,1.0,19.5,73.6,146.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.2%,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Watford,12,13,Danny Welbeck,F,8,137,1,1,2.63,3.28,0.79-0.21,0.28-0.72,0.52,0.19,Welbeck
20,WillockARSMID,Willock,ARS,MID,0.0,0.0,4.0,1.0,5.0,2.5,0.0,1.0,0.0,2.7,1.0,63.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.1%,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Arsenal,25,26,Joe Willock,M,2,66,0,0,2.73,0.0,0.13+0.13,0.00,0.18,0.0,Willock
21,XhakaARSMID,Xhaka,ARS,MID,3.0,8.0,452.0,7.0,5.5,674.0,0.0,37.0,4.0,152.6,634.6,2498.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,1.5%,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,Arsenal,4,5,Granit Xhaka,D M,29,2511,4,2,1.04,1.43,1.88-2.12,3.52+1.52,0.07,0.13,Xhaka
22,ÖzilARSMID,Özil,ARS,MID,3.0,9.0,363.0,5.0,7.5,714.2,0.0,24.0,5.0,140.0,429.6,1732.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,1.9%,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,Arsenal,3,4,Mesut Özil,M,24,1751,5,2,0.57,2.31,2.23-2.77,4.29+2.29,0.11,0.22,Özil
