Acceleration,74
Aggression,73
Agility,74
Att. Position,60
Balance,85
Ball Control,74
Composure,71
Crossing,79
Curve,76
Dribbling,76
FK Acc.,70
Finishing,53
GK Diving,14
GK Handling,7
GK Kicking,9
GK Positioning,9
GK Reflexes,12
Heading,64
Interceptions,75
Jumping,86
Long Pass,69
Long Shots,62
Marking,72
Penalties,59
Reactions,73
Short Pass,75
Shot Power,71
Slide Tackle,79
Sprint Speed,72
Stamina,74
Stand Tackle,78
Strength,62
Vision,68
Volleys,48
age,['29']
attacking_work_rate,High
defensive_work_rate,Medium
potential,76
rating,76
skill_moves,3
weak_foot,3
