Acceleration,89
Aggression,32
Agility,84
Att. Position,73
Avoids Using Weaker Foot,1
Balance,63
Ball Control,67
Beat Offside Trap,1
Composure,63
Crossing,66
Curve,54
Dives Into Tackles (CPU AI Only),1
Dribbling,77
FK Acc.,39
Finishing,75
Flair,1
GK Diving,11
GK Handling,8
GK Kicking,11
GK Positioning,5
GK Reflexes,9
Heading,72
Interceptions,14
Jumping,70
Long Pass,55
Long Shots,63
Marking,22
Penalties,71
Reactions,72
Short Pass,72
Shot Power,71
Slide Tackle,16
Sprint Speed,87
Stamina,59
Stand Tackle,17
Strength,57
Technical Dribbler (CPU AI Only),1
Vision,64
Volleys,61
age,['23']
attacking_work_rate,High
defensive_work_rate,Medium
potential,78
rating,73
skill_moves,3
weak_foot,2
