Acceleration,87
Aggression,65
Agility,88
Att. Position,75
Balance,85
Ball Control,80
Composure,75
Crossing,69
Curve,67
Dribbling,85
FK Acc.,52
Finishing,74
Flair,1
GK Diving,12
GK Handling,12
GK Kicking,9
GK Positioning,15
GK Reflexes,6
Heading,49
Interceptions,33
Jumping,65
Long Pass,44
Long Shots,71
Marking,24
Penalties,65
Reactions,66
Short Pass,72
Shot Power,78
Slide Tackle,25
Sprint Speed,79
Stamina,68
Stand Tackle,24
Strength,51
Technical Dribbler (CPU AI Only),1
Vision,70
Volleys,58
age,['21']
attacking_work_rate,High
defensive_work_rate,Medium
potential,86
rating,75
skill_moves,3
weak_foot,4
