Acceleration,75
Aggression,67
Agility,75
Att. Position,71
Backs Into Player,1
Balance,85
Ball Control,76
Composure,69
Crossing,70
Curve,75
Dribbling,76
FK Acc.,77
Finishing,67
GK Diving,13
GK Handling,13
GK Kicking,14
GK Positioning,10
GK Reflexes,8
Heading,42
Interceptions,44
Jumping,48
Long Pass,72
Long Shot Taker (CPU AI Only),1
Long Shots,69
Marking,44
Penalties,66
Playmaker (CPU AI Only),1
Reactions,66
Selfish,1
Short Pass,75
Shot Power,76
Slide Tackle,50
Sprint Speed,66
Stamina,62
Stand Tackle,48
Strength,32
Takes Finesse Free Kicks,1
Technical Dribbler (CPU AI Only),1
Vision,76
Volleys,63
age,['26']
attacking_work_rate,High
defensive_work_rate,Medium
potential,77
rating,74
skill_moves,3
weak_foot,4
