Acceleration,87
Aggression,70
Agility,75
Att. Position,77
Backs Into Player,1
Balance,74
Ball Control,72
Beat Offside Trap,1
Composure,71
Crossing,61
Curve,57
Dribbling,72
FK Acc.,44
Finishing,75
GK Diving,11
GK Handling,16
GK Kicking,11
GK Positioning,9
GK Reflexes,14
Heading,65
Injury Free,1
Interceptions,33
Jumping,72
Long Pass,54
Long Shots,65
Marking,27
Penalties,74
Reactions,75
Short Pass,67
Shot Power,80
Slide Tackle,20
Sprint Speed,87
Stamina,72
Stand Tackle,23
Strength,75
Vision,67
Volleys,69
age,['28']
attacking_work_rate,High
defensive_work_rate,Medium
potential,76
rating,76
skill_moves,3
weak_foot,3
