Acceleration,66
Aggression,73
Agility,61
Att. Position,32
Balance,61
Ball Control,73
Composure,77
Crossing,49
Curve,32
Dribbling,66
FK Acc.,22
Finishing,36
GK Diving,10
GK Handling,12
GK Kicking,8
GK Positioning,6
GK Reflexes,8
Heading,80
Interceptions,82
Jumping,72
Long Pass,71
Long Shots,20
Marking,80
Penalties,36
Reactions,78
Short Pass,77
Shot Power,31
Slide Tackle,82
Sprint Speed,70
Stamina,69
Stand Tackle,85
Strength,73
Vision,62
Volleys,25
age,['23']
attacking_work_rate,Low
defensive_work_rate,Medium
potential,87
rating,80
skill_moves,2
weak_foot,3
