Acceleration,83
Aggression,80
Agility,78
Att. Position,66
Avoids Using Weaker Foot,1
Balance,74
Ball Control,79
Composure,79
Crossing,88
Curve,78
Dribbling,77
Early Crosser,1
Engine,1
FK Acc.,30
Finishing,57
GK Diving,11
GK Handling,8
GK Kicking,10
GK Positioning,7
GK Reflexes,14
Heading,63
Interceptions,82
Jumping,62
Long Pass,71
Long Shots,60
Marking,81
Penalties,55
Reactions,83
Short Pass,77
Shot Power,67
Slide Tackle,80
Speed Dribbler (CPU AI Only),1
Sprint Speed,86
Stamina,93
Stand Tackle,83
Strength,66
Vision,77
Volleys,32
age,['25']
attacking_work_rate,High
defensive_work_rate,High
potential,88
rating,83
skill_moves,3
weak_foot,2
