Acceleration,69
Aggression,76
Agility,73
Att. Position,79
Avoids Using Weaker Foot,1
Balance,67
Ball Control,83
Composure,74
Crossing,80
Curve,83
Dribbling,86
FK Acc.,75
Finishing,77
Flair,1
GK Diving,9
GK Handling,5
GK Kicking,6
GK Positioning,5
GK Reflexes,14
Heading,69
Interceptions,54
Jumping,61
Long Pass,74
Long Shot Taker (CPU AI Only),1
Long Shots,83
Marking,37
Penalties,85
Reactions,82
Short Pass,78
Shot Power,83
Slide Tackle,30
Sprint Speed,76
Stamina,60
Stand Tackle,35
Strength,76
Vision,78
Volleys,74
age,['29']
attacking_work_rate,High
defensive_work_rate,Medium
potential,80
rating,80
skill_moves,4
weak_foot,2
