Acceleration,59
Aggression,72
Agility,57
Att. Position,33
Balance,54
Ball Control,59
Composure,69
Crossing,51
Curve,51
Dribbling,61
FK Acc.,36
Finishing,25
GK Diving,5
GK Handling,3
GK Kicking,5
GK Positioning,4
GK Reflexes,4
Heading,77
Interceptions,80
Jumping,74
Long Pass,67
Long Shots,46
Marking,76
Penalties,39
Reactions,70
Short Pass,68
Shot Power,68
Slide Tackle,80
Sprint Speed,64
Stamina,64
Stand Tackle,81
Strength,80
Vision,50
Volleys,30
age,['31']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,77
rating,77
skill_moves,2
weak_foot,3
