Acceleration,48
Aggression,28
Agility,40
Att. Position,14
Balance,42
Ball Control,27
Composure,57
Crossing,14
Curve,20
Dribbling,20
FK Acc.,15
Finishing,15
GK Diving,76
GK Handling,72
GK Kicking,70
GK Positioning,73
GK Reflexes,78
Heading,14
Interceptions,22
Jumping,64
Long Pass,41
Long Shots,17
Marking,20
Penalties,25
Reactions,69
Short Pass,32
Shot Power,24
Slide Tackle,14
Sprint Speed,49
Stamina,31
Stand Tackle,16
Strength,66
Vision,51
Volleys,19
age,['23']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,83
rating,75
skill_moves,1
weak_foot,3
