Acceleration,63
Aggression,77
Agility,74
Att. Position,66
Balance,81
Ball Control,77
Composure,78
Crossing,78
Curve,79
Dribbling,71
FK Acc.,75
Finishing,53
GK Diving,10
GK Handling,13
GK Kicking,13
GK Positioning,7
GK Reflexes,8
Heading,60
Interceptions,75
Jumping,72
Long Pass,79
Long Passer (CPU AI Only),1
Long Shots,60
Marking,77
Penalties,58
Reactions,76
Short Pass,80
Shot Power,76
Slide Tackle,73
Sprint Speed,57
Stamina,80
Stand Tackle,75
Strength,70
Vision,77
Volleys,56
age,['29']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,76
rating,76
skill_moves,3
weak_foot,3
