Acceleration,62
Aggression,78
Agility,56
Att. Position,54
Balance,55
Ball Control,75
Composure,84
Crossing,58
Curve,61
Dribbling,60
FK Acc.,69
Finishing,45
GK Diving,10
GK Handling,11
GK Kicking,5
GK Positioning,14
GK Reflexes,5
Heading,86
Interceptions,87
Jumping,76
Long Pass,78
Long Passer (CPU AI Only),1
Long Shots,47
Marking,88
Penalties,44
Reactions,86
Short Pass,79
Shot Power,68
Slide Tackle,88
Sprint Speed,66
Stamina,71
Stand Tackle,89
Strength,84
Tackling,1
Tactician,1
Vision,59
Volleys,40
age,['25']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,89
rating,86
skill_moves,2
weak_foot,3
