Acceleration,50
Aggression,15
Agility,45
Att. Position,14
Balance,50
Ball Control,25
Comes For Crosses,1
Composure,63
Crossing,15
Curve,15
Dribbling,14
FK Acc.,17
Finishing,18
GK Diving,78
GK Handling,79
GK Kicking,73
GK Long Throw,1
GK Positioning,77
GK Reflexes,81
GK Up for Corners,1
Heading,14
Interceptions,23
Jumping,75
Long Pass,32
Long Shots,14
Marking,22
Penalties,41
Reactions,74
Saves with Feet,1
Short Pass,36
Shot Power,27
Slide Tackle,14
Sprint Speed,48
Stamina,32
Stand Tackle,15
Strength,57
Vision,42
Volleys,14
age,['36']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,79
rating,79
skill_moves,1
weak_foot,3
