Acceleration,66
Aggression,83
Agility,74
Att. Position,62
Balance,72
Ball Control,71
Composure,74
Crossing,65
Curve,58
Dives Into Tackles (CPU AI Only),1
Dribbling,71
FK Acc.,57
Finishing,54
GK Diving,10
GK Handling,8
GK Kicking,11
GK Positioning,14
GK Reflexes,6
Heading,64
Interceptions,67
Jumping,90
Long Pass,72
Long Shot Taker (CPU AI Only),1
Long Shots,67
Marking,68
Penalties,58
Reactions,68
Short Pass,74
Shot Power,72
Slide Tackle,68
Sprint Speed,66
Stamina,84
Stand Tackle,71
Strength,69
Vision,72
Volleys,53
age,['31']
attacking_work_rate,High
defensive_work_rate,High
potential,72
rating,72
skill_moves,3
weak_foot,3
