Acceleration,55
Aggression,28
Agility,52
Att. Position,7
Balance,44
Ball Control,30
Cautious With Crosses,1
Composure,66
Crossing,9
Curve,9
Dribbling,16
FK Acc.,8
Finishing,9
GK Diving,83
GK Handling,81
GK Kicking,77
GK Positioning,84
GK Reflexes,84
Heading,13
Interceptions,22
Jumping,73
Long Pass,42
Long Shots,14
Marking,27
Penalties,23
Reactions,77
Rushes Out Of Goal,1
Short Pass,45
Shot Power,23
Slide Tackle,18
Sprint Speed,56
Stamina,43
Stand Tackle,15
Strength,68
Vision,54
Volleys,10
age,['27']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,86
rating,83
skill_moves,1
weak_foot,3
