Acceleration,34
Aggression,32
Agility,47
Att. Position,15
Balance,52
Ball Control,24
Comes For Crosses,1
Composure,52
Crossing,15
Curve,13
Dribbling,11
FK Acc.,13
Finishing,12
GK Diving,65
GK Handling,59
GK Kicking,56
GK Positioning,65
GK Reflexes,67
Heading,13
Interceptions,16
Jumping,58
Long Pass,16
Long Shots,14
Marking,13
Penalties,24
Reactions,59
Short Pass,22
Shot Power,21
Slide Tackle,13
Sprint Speed,32
Stamina,32
Stand Tackle,14
Strength,41
Vision,24
Volleys,13
age,['36']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,64
rating,64
skill_moves,1
weak_foot,3
