Acceleration,87
Aggression,73
Agility,75
Att. Position,83
Balance,74
Ball Control,77
Beat Offside Trap,1
Composure,79
Crossing,52
Curve,63
Dribbling,78
FK Acc.,45
Finishing,83
GK Diving,10
GK Handling,15
GK Kicking,8
GK Positioning,10
GK Reflexes,6
Heading,78
Injury Prone,1
Interceptions,40
Jumping,72
Long Pass,60
Long Shots,69
Marking,29
Penalties,75
Reactions,78
Short Pass,72
Shot Power,77
Slide Tackle,25
Speed Dribbler (CPU AI Only),1
Sprint Speed,89
Stamina,75
Stand Tackle,39
Strength,76
Vision,71
Volleys,72
age,['27']
attacking_work_rate,High
defensive_work_rate,Medium
potential,81
rating,80
skill_moves,4
weak_foot,3
