Acceleration,68
Aggression,51
Agility,65
Att. Position,55
Balance,71
Ball Control,62
Composure,55
Crossing,53
Curve,56
Dribbling,59
FK Acc.,52
Finishing,52
GK Diving,6
GK Handling,7
GK Kicking,14
GK Positioning,11
GK Reflexes,7
Heading,51
Interceptions,49
Jumping,58
Long Pass,56
Long Shots,55
Marking,55
Penalties,52
Reactions,58
Short Pass,60
Shot Power,58
Slide Tackle,51
Sprint Speed,69
Stamina,69
Stand Tackle,53
Strength,59
Vision,57
Volleys,49
age,['19']
attacking_work_rate,High
defensive_work_rate,Medium
potential,75
rating,60
skill_moves,2
weak_foot,3
