Acceleration,65
Aggression,73
Agility,67
Att. Position,72
Balance,69
Ball Control,77
Composure,70
Crossing,60
Curve,60
Dribbling,76
FK Acc.,66
Finishing,69
GK Diving,14
GK Handling,9
GK Kicking,11
GK Positioning,11
GK Reflexes,8
Heading,57
Interceptions,70
Jumping,72
Long Pass,75
Long Shots,72
Marking,70
Penalties,56
Reactions,72
Short Pass,78
Shot Power,76
Slide Tackle,68
Sprint Speed,60
Stamina,73
Stand Tackle,73
Strength,74
Vision,76
Volleys,65
age,['25']
attacking_work_rate,High
defensive_work_rate,Medium
potential,80
rating,76
skill_moves,3
weak_foot,3
