Acceleration,71
Aggression,77
Agility,72
Att. Position,63
Avoids Using Weaker Foot,1
Balance,71
Ball Control,73
Composure,70
Crossing,75
Curve,69
Dives Into Tackles (CPU AI Only),1
Dribbling,76
FK Acc.,61
Finishing,49
GK Diving,13
GK Handling,6
GK Kicking,14
GK Positioning,13
GK Reflexes,8
Heading,71
Interceptions,74
Jumping,76
Long Pass,67
Long Shots,59
Marking,74
Penalties,45
Reactions,71
Short Pass,72
Shot Power,63
Slide Tackle,75
Sprint Speed,72
Stamina,77
Stand Tackle,76
Strength,74
Vision,65
Volleys,43
age,['25']
attacking_work_rate,High
defensive_work_rate,Medium
potential,78
rating,75
skill_moves,3
weak_foot,2
