Acceleration,52
Aggression,82
Agility,54
Att. Position,47
Balance,50
Ball Control,58
Composure,68
Crossing,39
Curve,50
Dribbling,50
FK Acc.,36
Finishing,43
GK Diving,14
GK Handling,7
GK Kicking,12
GK Positioning,14
GK Reflexes,12
Heading,79
Interceptions,75
Jumping,71
Long Pass,60
Long Shots,54
Marking,75
Penalties,55
Reactions,68
Short Pass,61
Shot Power,71
Slide Tackle,79
Sprint Speed,59
Stamina,63
Stand Tackle,77
Strength,76
Vision,51
Volleys,55
age,['29']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,77
rating,76
skill_moves,2
weak_foot,2
