Acceleration,67
Aggression,70
Agility,49
Att. Position,50
Balance,57
Ball Control,61
Composure,60
Crossing,63
Curve,52
Dribbling,64
FK Acc.,32
Finishing,44
GK Diving,13
GK Handling,6
GK Kicking,9
GK Positioning,6
GK Reflexes,12
Heading,42
Injury Prone,1
Interceptions,54
Jumping,39
Long Pass,65
Long Shots,58
Marking,62
Penalties,56
Reactions,57
Short Pass,66
Shot Power,49
Slide Tackle,63
Sprint Speed,64
Stamina,55
Stand Tackle,64
Strength,70
Vision,54
Volleys,59
age,['23']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,69
rating,61
skill_moves,2
weak_foot,4
