Acceleration,75
Aggression,60
Agility,66
Att. Position,61
Balance,60
Ball Control,59
Composure,65
Crossing,39
Curve,55
Dribbling,60
FK Acc.,33
Finishing,58
GK Diving,11
GK Handling,9
GK Kicking,15
GK Positioning,10
GK Reflexes,6
Heading,59
Interceptions,25
Jumping,68
Long Pass,40
Long Shots,53
Marking,29
Penalties,59
Reactions,56
Short Pass,55
Shot Power,64
Slide Tackle,25
Speed Dribbler (CPU AI Only),1
Sprint Speed,75
Stamina,60
Stand Tackle,23
Strength,74
Vision,54
Volleys,49
age,['22']
attacking_work_rate,High
defensive_work_rate,Medium
potential,69
rating,62
skill_moves,2
weak_foot,3
