Acceleration,42
Aggression,72
Agility,31
Att. Position,37
Avoids Using Weaker Foot,1
Balance,26
Ball Control,53
Composure,62
Crossing,43
Curve,48
Dribbling,47
FK Acc.,46
Finishing,25
GK Diving,15
GK Handling,13
GK Kicking,7
GK Positioning,8
GK Reflexes,10
Heading,73
Interceptions,67
Jumping,55
Long Pass,60
Long Shots,29
Marking,72
Penalties,48
Reactions,65
Short Pass,59
Shot Power,53
Slide Tackle,69
Sprint Speed,44
Stamina,63
Stand Tackle,69
Strength,1
Vision,49
Volleys,22
age,['27']
attacking_work_rate,Low
defensive_work_rate,Medium
potential,73
rating,71
skill_moves,2
weak_foot,3
