Acceleration,63
Aggression,74
Agility,67
Att. Position,71
Balance,76
Ball Control,78
Composure,78
Crossing,64
Curve,72
Dribbling,75
FK Acc.,69
Finishing,60
GK Diving,12
GK Handling,6
GK Kicking,8
GK Positioning,9
GK Reflexes,12
Heading,61
Interceptions,75
Jumping,54
Long Pass,83
Long Passer (CPU AI Only),1
Long Shots,72
Marking,69
Penalties,53
Playmaker (CPU AI Only),1
Reactions,77
Short Pass,80
Shot Power,77
Slide Tackle,73
Sprint Speed,63
Stamina,77
Stand Tackle,76
Strength,69
Vision,77
Volleys,69
age,['29']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,78
rating,78
skill_moves,3
weak_foot,4
