Acceleration,79
Aggression,87
Agility,74
Att. Position,72
Balance,80
Ball Control,80
Composure,76
Crossing,81
Curve,64
Dribbling,80
FK Acc.,57
Finishing,57
GK Diving,10
GK Handling,11
GK Kicking,8
GK Positioning,13
GK Reflexes,13
Heading,62
Interceptions,81
Jumping,75
Long Pass,66
Long Shots,67
Marking,81
Penalties,57
Reactions,82
Short Pass,77
Shot Power,68
Slide Tackle,83
Speed Dribbler (CPU AI Only),1
Sprint Speed,77
Stamina,79
Stand Tackle,83
Strength,72
Vision,73
Volleys,64
age,['29']
attacking_work_rate,Medium
defensive_work_rate,High
potential,81
rating,81
skill_moves,3
weak_foot,3
