Acceleration,78
Aggression,80
Agility,69
Att. Position,73
Balance,70
Ball Control,75
Composure,76
Crossing,77
Curve,75
Dribbling,78
FK Acc.,44
Finishing,52
GK Diving,10
GK Handling,6
GK Kicking,10
GK Positioning,6
GK Reflexes,8
Heading,65
Interceptions,71
Jumping,77
Long Pass,60
Long Shot Taker (CPU AI Only),1
Long Shots,64
Marking,69
Penalties,43
Reactions,76
Short Pass,74
Shot Power,76
Slide Tackle,67
Sprint Speed,77
Stamina,78
Stand Tackle,69
Strength,74
Technical Dribbler (CPU AI Only),1
Vision,66
Volleys,44
age,['20']
attacking_work_rate,High
defensive_work_rate,Medium
potential,85
rating,74
skill_moves,3
weak_foot,3
