Acceleration,74
Aggression,53
Agility,77
Att. Position,59
Balance,83
Ball Control,71
Composure,62
Crossing,54
Curve,58
Dribbling,68
FK Acc.,50
Finishing,55
Flair,1
GK Diving,12
GK Handling,11
GK Kicking,8
GK Positioning,12
GK Reflexes,6
Heading,34
Interceptions,44
Jumping,51
Long Pass,60
Long Shots,61
Marking,37
Penalties,48
Reactions,60
Short Pass,68
Shot Power,59
Slide Tackle,41
Sprint Speed,66
Stamina,64
Stand Tackle,45
Strength,43
Vision,62
Volleys,48
age,['19']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,82
rating,66
skill_moves,3
weak_foot,3
