Acceleration,78
Aggression,67
Agility,72
Att. Position,68
Backs Into Player,1
Balance,66
Ball Control,71
Composure,69
Crossing,75
Curve,60
Dribbling,65
FK Acc.,35
Finishing,50
GK Diving,12
GK Handling,14
GK Kicking,8
GK Positioning,15
GK Reflexes,11
Heading,62
Injury Prone,1
Interceptions,75
Jumping,74
Long Pass,58
Long Passer (CPU AI Only),1
Long Shot Taker (CPU AI Only),1
Long Shots,44
Marking,75
Penalties,55
Reactions,72
Short Pass,69
Shot Power,66
Slide Tackle,76
Speed Dribbler (CPU AI Only),1
Sprint Speed,76
Stamina,79
Stand Tackle,71
Strength,66
Vision,60
Volleys,43
age,['27']
attacking_work_rate,High
defensive_work_rate,Medium
potential,76
rating,75
skill_moves,3
weak_foot,3
