Acceleration,62
Aggression,57
Agility,56
Att. Position,29
Balance,68
Ball Control,58
Composure,64
Crossing,27
Curve,34
Dribbling,57
FK Acc.,27
Finishing,23
GK Diving,13
GK Handling,12
GK Kicking,9
GK Positioning,8
GK Reflexes,12
Heading,59
Interceptions,62
Jumping,74
Long Pass,64
Long Shots,22
Marking,66
Penalties,33
Reactions,61
Short Pass,70
Shot Power,52
Slide Tackle,65
Sprint Speed,58
Stamina,60
Stand Tackle,67
Strength,67
Vision,59
Volleys,25
age,['18']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,86
rating,65
skill_moves,2
weak_foot,3
