Acceleration,54
Aggression,82
Agility,42
Att. Position,27
Balance,42
Ball Control,56
Composure,74
Crossing,33
Curve,30
Dribbling,47
FK Acc.,34
Finishing,31
GK Diving,9
GK Handling,13
GK Kicking,15
GK Positioning,9
GK Reflexes,15
Heading,82
Interceptions,80
Jumping,73
Long Pass,56
Long Shots,34
Marking,82
Penalties,48
Reactions,77
Short Pass,71
Shot Power,71
Slide Tackle,76
Sprint Speed,64
Stamina,76
Stand Tackle,82
Strength,84
Vision,45
Volleys,24
age,['27']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,83
rating,80
skill_moves,2
weak_foot,3
