Acceleration,92
Aggression,67
Agility,89
Att. Position,76
Balance,88
Ball Control,88
Composure,84
Crossing,80
Curve,72
Dribbler,1
Dribbling,90
FK Acc.,69
Finesse Shot,1
Finishing,74
Flair,1
GK Diving,12
GK Handling,10
GK Kicking,9
GK Positioning,5
GK Reflexes,7
Heading,44
Interceptions,69
Jumping,37
Long Pass,76
Long Shot Taker (CPU AI Only),1
Long Shots,84
Marking,47
Penalties,53
Reactions,76
Short Pass,81
Shot Power,86
Slide Tackle,54
Speed Dribbler (CPU AI Only),1
Speedster,1
Sprint Speed,89
Stamina,74
Stand Tackle,60
Strength,55
Vision,80
Volleys,70
age,['26']
attacking_work_rate,High
defensive_work_rate,Medium
potential,85
rating,84
skill_moves,4
weak_foot,4
