Acceleration,48
Aggression,92
Agility,49
Att. Position,75
Avoids Using Weaker Foot,1
Balance,61
Ball Control,80
Composure,74
Crossing,73
Curve,76
Dives Into Tackles (CPU AI Only),1
Dribbling,70
FK Acc.,77
Finishing,53
GK Diving,7
GK Handling,8
GK Kicking,11
GK Positioning,7
GK Reflexes,13
Heading,62
Interceptions,71
Jumping,32
Long Pass,85
Long Passer (CPU AI Only),1
Long Shot Taker (CPU AI Only),1
Long Shots,79
Marking,66
Penalties,63
Power Free-Kick,1
Reactions,76
Short Pass,86
Shot Power,90
Slide Tackle,69
Sprint Speed,52
Stamina,81
Stand Tackle,72
Strength,77
Vision,82
Volleys,50
age,['26']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,84
rating,81
skill_moves,3
weak_foot,2
