Acceleration,58
Aggression,57
Agility,68
Att. Position,79
Balance,63
Ball Control,85
Composure,84
Crosser,1
Crossing,86
Curve,87
Dribbling,81
FK Acc.,86
FK Specialist,1
Finesse Shot,1
Finishing,78
GK Diving,13
GK Handling,8
GK Kicking,10
GK Positioning,15
GK Reflexes,12
Heading,60
Injury Free,1
Interceptions,55
Jumping,68
Long Pass,77
Long Shot Taker (CPU AI Only),1
Long Shots,86
Marking,57
Penalties,79
Playmaker (CPU AI Only),1
Reactions,78
Set Play Specialist,1
Short Pass,85
Shot Power,83
Slide Tackle,55
Sprint Speed,55
Stamina,84
Stand Tackle,57
Strength,68
Takes Finesse Free Kicks,1
Vision,86
Volleys,75
age,['29']
attacking_work_rate,High
defensive_work_rate,High
potential,82
rating,82
skill_moves,3
weak_foot,4
