Acceleration,73
Aggression,65
Agility,79
Att. Position,64
Balance,83
Ball Control,81
Composure,82
Crossing,65
Curve,73
Dribbling,81
FK Acc.,60
Finishing,54
GK Diving,8
GK Handling,11
GK Kicking,14
GK Positioning,13
GK Reflexes,10
Heading,50
Injury Prone,1
Interceptions,73
Jumping,51
Long Pass,80
Long Shots,62
Marking,72
Penalties,51
Reactions,79
Short Pass,83
Shot Power,63
Slide Tackle,67
Sprint Speed,69
Stamina,83
Stand Tackle,74
Strength,63
Vision,80
Volleys,50
age,['23']
attacking_work_rate,High
defensive_work_rate,Medium
potential,86
rating,79
skill_moves,3
weak_foot,3
