Acceleration,76
Aggression,85
Agility,82
Att. Position,67
Balance,80
Ball Control,79
Composure,80
Crossing,60
Curve,33
Dribbling,75
FK Acc.,61
Finishing,50
GK Diving,8
GK Handling,6
GK Kicking,8
GK Positioning,12
GK Reflexes,13
Heading,69
Interceptions,89
Jumping,87
Long Pass,76
Long Shot Taker (CPU AI Only),1
Long Shots,66
Marking,84
Penalties,54
Reactions,83
Short Pass,78
Shot Power,80
Slide Tackle,84
Sprint Speed,72
Stamina,89
Stand Tackle,89
Strength,70
Tactician,1
Vision,67
Volleys,32
age,['29']
attacking_work_rate,Medium
defensive_work_rate,High
potential,83
rating,83
skill_moves,3
weak_foot,3
