Acceleration,74
Aggression,45
Agility,68
Att. Position,72
Balance,56
Ball Control,79
Composure,63
Crossing,73
Curve,56
Dribbling,77
FK Acc.,54
Finishing,69
GK Diving,8
GK Handling,15
GK Kicking,14
GK Positioning,8
GK Reflexes,10
Heading,64
Injury Prone,1
Interceptions,20
Jumping,80
Long Pass,55
Long Shots,58
Marking,41
Penalties,68
Reactions,68
Short Pass,68
Shot Power,80
Slide Tackle,24
Speed Dribbler (CPU AI Only),1
Sprint Speed,79
Stamina,63
Stand Tackle,33
Strength,78
Vision,62
Volleys,55
age,['23']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,80
rating,73
skill_moves,3
weak_foot,3
