Acceleration,86
Aggression,68
Agility,77
Att. Position,72
Balance,75
Ball Control,78
Composure,62
Crossing,72
Curve,74
Dribbling,79
FK Acc.,56
Finesse Shot,1
Finishing,70
Flair,1
GK Diving,13
GK Handling,15
GK Kicking,12
GK Positioning,9
GK Reflexes,13
Heading,61
Interceptions,37
Jumping,46
Long Pass,63
Long Shots,67
Marking,25
Penalties,72
Reactions,71
Short Pass,68
Shot Power,78
Slide Tackle,36
Sprint Speed,87
Stamina,64
Stand Tackle,46
Strength,75
Technical Dribbler (CPU AI Only),1
Vision,72
Volleys,62
age,['25']
attacking_work_rate,High
defensive_work_rate,Medium
potential,78
rating,75
skill_moves,4
weak_foot,4
