Acceleration,55
Aggression,65
Agility,50
Att. Position,33
Balance,59
Ball Control,56
Composure,52
Crossing,39
Curve,35
Dribbling,51
FK Acc.,36
Finishing,30
GK Diving,8
GK Handling,6
GK Kicking,5
GK Positioning,8
GK Reflexes,6
Heading,67
Interceptions,64
Jumping,70
Long Pass,50
Long Shots,26
Marking,65
Penalties,45
Reactions,62
Short Pass,57
Shot Power,58
Slide Tackle,66
Sprint Speed,57
Stamina,66
Stand Tackle,67
Strength,74
Vision,42
Volleys,40
age,['22']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,75
rating,66
skill_moves,2
weak_foot,2
