Acceleration,61
Aggression,68
Agility,63
Att. Position,47
Balance,58
Ball Control,72
Composure,65
Crossing,47
Curve,55
Dribbling,66
FK Acc.,58
Finishing,36
GK Diving,13
GK Handling,10
GK Kicking,11
GK Positioning,13
GK Reflexes,10
Heading,75
Interceptions,75
Jumping,63
Long Pass,59
Long Shots,42
Marking,68
Penalties,42
Reactions,73
Short Pass,72
Shot Power,55
Slide Tackle,74
Sprint Speed,60
Stamina,72
Stand Tackle,77
Strength,75
Vision,44
Volleys,34
age,['25']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,80
rating,74
skill_moves,2
weak_foot,3
