Acceleration,68
Aggression,81
Agility,76
Att. Position,77
Avoids Using Weaker Foot,1
Balance,83
Ball Control,82
Composure,80
Crossing,73
Curve,77
Dribbling,81
FK Acc.,71
Finishing,62
GK Diving,6
GK Handling,15
GK Kicking,15
GK Positioning,9
GK Reflexes,11
Heading,58
Injury Prone,1
Interceptions,61
Jumping,66
Long Pass,80
Long Shots,72
Marking,62
Penalties,65
Reactions,76
Short Pass,84
Shot Power,74
Slide Tackle,65
Sprint Speed,63
Stamina,68
Stand Tackle,64
Strength,60
Technical Dribbler (CPU AI Only),1
Vision,81
Volleys,64
age,['27']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,80
rating,79
skill_moves,3
weak_foot,2
