Acceleration,55
Aggression,79
Agility,58
Att. Position,43
Balance,54
Ball Control,68
Composure,78
Crossing,59
Curve,54
Dribbling,61
FK Acc.,53
Finishing,40
GK Diving,14
GK Handling,8
GK Kicking,12
GK Positioning,9
GK Reflexes,7
Heading,80
Interceptions,79
Jumping,82
Long Pass,72
Long Passer (CPU AI Only),1
Long Shots,38
Marking,79
Penalties,52
Power Header,1
Reactions,75
Short Pass,72
Shot Power,63
Slide Tackle,79
Sprint Speed,63
Stamina,70
Stand Tackle,80
Strength,81
Vision,65
Volleys,40
age,['26']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,82
rating,79
skill_moves,2
weak_foot,4
