Acceleration,84
Aggression,70
Agility,78
Att. Position,73
Balance,77
Ball Control,70
Composure,65
Crossing,69
Curve,62
Dribbling,74
FK Acc.,34
Finishing,64
GK Diving,9
GK Handling,7
GK Kicking,8
GK Positioning,10
GK Reflexes,9
Heading,64
Interceptions,68
Jumping,75
Long Pass,58
Long Shots,61
Marking,68
Penalties,67
Reactions,71
Short Pass,72
Shot Power,77
Slide Tackle,71
Speed Dribbler (CPU AI Only),1
Sprint Speed,89
Stamina,78
Stand Tackle,70
Strength,76
Vision,69
Volleys,64
age,['26']
attacking_work_rate,High
defensive_work_rate,Medium
potential,75
rating,74
skill_moves,3
weak_foot,2
