Acceleration,78
Aggression,70
Agility,64
Att. Position,51
Balance,66
Ball Control,68
Composure,69
Crossing,69
Curve,41
Dribbling,67
FK Acc.,29
Finishing,26
GK Diving,8
GK Handling,13
GK Kicking,14
GK Positioning,7
GK Reflexes,7
Heading,68
Injury Prone,1
Interceptions,81
Jumping,66
Long Pass,57
Long Shots,26
Long Throw-in,1
Marking,78
Penalties,26
Reactions,77
Short Pass,72
Shot Power,41
Slide Tackle,77
Sprint Speed,83
Stamina,74
Stand Tackle,80
Strength,80
Vision,52
Volleys,24
age,['22']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,88
rating,78
skill_moves,3
weak_foot,3
