Acceleration,56
Aggression,75
Agility,55
Att. Position,51
Avoids Using Weaker Foot,1
Balance,44
Ball Control,70
Composure,78
Crossing,54
Curve,63
Dribbling,69
FK Acc.,22
Finishing,36
GK Diving,11
GK Handling,15
GK Kicking,10
GK Positioning,7
GK Reflexes,10
Heading,82
Interceptions,83
Jumping,66
Long Pass,74
Long Shots,48
Marking,82
Penalties,42
Reactions,80
Short Pass,77
Shot Power,66
Slide Tackle,78
Sprint Speed,69
Stamina,73
Stand Tackle,84
Strength,78
Vision,72
Volleys,50
age,['27']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,83
rating,81
skill_moves,2
weak_foot,2
