Acceleration,66
Aggression,49
Agility,47
Att. Position,30
Balance,62
Ball Control,51
Composure,42
Crossing,33
Curve,33
Dribbling,46
FK Acc.,33
Finishing,26
GK Diving,10
GK Handling,5
GK Kicking,8
GK Positioning,11
GK Reflexes,14
Heading,58
Interceptions,56
Jumping,68
Long Pass,34
Long Shots,30
Marking,68
Penalties,37
Reactions,41
Short Pass,44
Shot Power,48
Slide Tackle,63
Sprint Speed,71
Stamina,51
Stand Tackle,66
Strength,65
Vision,36
Volleys,37
age,['19']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,77
rating,61
skill_moves,2
weak_foot,3
