Acceleration,63
Aggression,84
Agility,62
Att. Position,70
Balance,65
Ball Control,76
Composure,78
Crossing,73
Curve,69
Dives Into Tackles (CPU AI Only),1
Dribbling,74
FK Acc.,73
Finishing,67
GK Diving,14
GK Handling,11
GK Kicking,15
GK Positioning,8
GK Reflexes,16
Heading,67
Interceptions,63
Jumping,64
Long Pass,85
Long Passer (CPU AI Only),1
Long Shot Taker (CPU AI Only),1
Long Shots,81
Marking,60
Penalties,71
Playmaker (CPU AI Only),1
Reactions,72
Short Pass,84
Shot Power,85
Slide Tackle,61
Sprint Speed,63
Stamina,76
Stand Tackle,65
Strength,71
Vision,83
Volleys,59
age,['27']
attacking_work_rate,Low
defensive_work_rate,Medium
potential,79
rating,78
skill_moves,3
weak_foot,3
