Acceleration,67
Aggression,77
Agility,68
Att. Position,75
Balance,70
Ball Control,80
Composure,78
Crossing,81
Curve,80
Dribbling,73
Early Crosser,1
FK Acc.,74
Finishing,67
GK Diving,7
GK Handling,13
GK Kicking,7
GK Positioning,9
GK Reflexes,13
Heading,65
Injury Prone,1
Interceptions,79
Jumping,79
Leadership,1
Long Pass,84
Long Passer (CPU AI Only),1
Long Shots,71
Marking,77
Penalties,64
Reactions,80
Short Pass,84
Shot Power,77
Slide Tackle,76
Sprint Speed,66
Stamina,91
Stand Tackle,79
Strength,72
Team Player,1
Vision,83
Volleys,72
age,['29']
attacking_work_rate,Medium
defensive_work_rate,High
potential,82
rating,82
skill_moves,3
weak_foot,3
