Acceleration,69
Aggression,89
Agility,71
Att. Position,62
Balance,73
Ball Control,78
Composure,72
Crossing,85
Curve,74
Dives Into Tackles (CPU AI Only),1
Dribbling,73
FK Acc.,71
Finishing,57
GK Diving,15
GK Handling,13
GK Kicking,13
GK Positioning,14
GK Reflexes,16
Heading,74
Interceptions,72
Jumping,73
Long Pass,69
Long Shots,72
Long Throw-in,1
Marking,75
Penalties,57
Reactions,74
Set Play Specialist,1
Short Pass,77
Shot Power,82
Slide Tackle,77
Sprint Speed,74
Stamina,79
Stand Tackle,80
Strength,73
Vision,64
Volleys,50
age,['35']
attacking_work_rate,High
defensive_work_rate,Medium
potential,78
rating,78
skill_moves,3
weak_foot,2
