Acceleration,72
Aggression,45
Agility,75
Att. Position,52
Balance,79
Ball Control,58
Composure,57
Crossing,51
Curve,52
Dribbling,59
FK Acc.,57
Finishing,47
GK Diving,10
GK Handling,12
GK Kicking,5
GK Positioning,5
GK Reflexes,13
Heading,42
Interceptions,53
Jumping,66
Long Pass,58
Long Shots,51
Marking,50
Penalties,50
Reactions,56
Short Pass,60
Shot Power,55
Slide Tackle,47
Sprint Speed,69
Stamina,65
Stand Tackle,55
Strength,52
Vision,59
Volleys,50
age,['19']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,72
rating,59
skill_moves,2
weak_foot,3
