Acceleration,85
Aggression,37
Agility,83
Att. Position,61
Balance,80
Ball Control,68
Composure,62
Crossing,61
Curve,58
Dribbling,73
FK Acc.,45
Finishing,62
GK Diving,10
GK Handling,10
GK Kicking,13
GK Positioning,11
GK Reflexes,9
Heading,42
Interceptions,20
Jumping,34
Long Pass,58
Long Shots,53
Marking,33
Penalties,67
Reactions,63
Short Pass,66
Shot Power,64
Slide Tackle,36
Speed Dribbler (CPU AI Only),1
Sprint Speed,77
Stamina,55
Stand Tackle,31
Strength,48
Vision,59
Volleys,54
age,['22']
attacking_work_rate,High
defensive_work_rate,Medium
potential,77
rating,67
skill_moves,3
weak_foot,4
