Acceleration,42
Aggression,21
Agility,46
Att. Position,8
Balance,55
Ball Control,26
Cautious With Crosses,1
Composure,53
Crossing,13
Curve,15
Dribbling,12
FK Acc.,12
Finishing,13
GK Diving,70
GK Handling,67
GK Kicking,62
GK Positioning,66
GK Reflexes,69
Heading,11
Interceptions,17
Jumping,72
Long Pass,28
Long Shots,12
Marking,10
Penalties,22
Reactions,64
Short Pass,38
Shot Power,20
Slide Tackle,15
Sprint Speed,39
Stamina,33
Stand Tackle,12
Strength,43
Team Player,1
Vision,34
Volleys,12
age,['40']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,68
rating,68
skill_moves,1
weak_foot,3
