Acceleration,73
Aggression,74
Agility,66
Att. Position,71
Balance,63
Ball Control,72
Beat Offside Trap,1
Composure,76
Crossing,68
Curve,65
Dribbling,74
FK Acc.,74
Finishing,75
GK Diving,10
GK Handling,7
GK Kicking,8
GK Positioning,13
GK Reflexes,10
Heading,67
Interceptions,37
Jumping,58
Long Pass,69
Long Shots,72
Marking,29
Penalties,69
Reactions,74
Short Pass,70
Shot Power,84
Slide Tackle,31
Sprint Speed,76
Stamina,72
Stand Tackle,34
Strength,78
Vision,68
Volleys,67
age,['25']
attacking_work_rate,High
defensive_work_rate,Medium
potential,79
rating,76
skill_moves,3
weak_foot,4
