Acceleration,72
Aggression,59
Agility,61
Att. Position,49
Balance,71
Ball Control,47
Composure,41
Crossing,57
Curve,39
Dribbling,59
FK Acc.,34
Finishing,29
GK Diving,12
GK Handling,10
GK Kicking,9
GK Positioning,6
GK Reflexes,15
Heading,56
Interceptions,58
Jumping,62
Long Pass,34
Long Shots,33
Marking,50
Penalties,45
Reactions,60
Short Pass,41
Shot Power,31
Slide Tackle,62
Sprint Speed,70
Stamina,64
Stand Tackle,66
Strength,69
Vision,39
Volleys,40
age,['18']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,75
rating,60
skill_moves,2
weak_foot,2
