Acceleration,77
Aggression,70
Agility,82
Att. Position,69
Balance,85
Ball Control,78
Composure,68
Crossing,78
Curve,65
Dribbling,80
FK Acc.,55
Finishing,55
GK Diving,16
GK Handling,15
GK Kicking,7
GK Positioning,15
GK Reflexes,11
Heading,52
Interceptions,74
Jumping,69
Long Pass,54
Long Shots,65
Marking,72
Penalties,60
Reactions,70
Short Pass,77
Shot Power,56
Slide Tackle,77
Speed Dribbler (CPU AI Only),1
Sprint Speed,79
Stamina,77
Stand Tackle,78
Strength,65
Vision,69
Volleys,54
age,['28']
attacking_work_rate,High
defensive_work_rate,Medium
potential,76
rating,76
skill_moves,3
weak_foot,3
