Acceleration,60
Aggression,83
Agility,44
Att. Position,53
Balance,52
Ball Control,63
Composure,67
Crossing,49
Curve,60
Dribbling,50
FK Acc.,59
Finishing,47
GK Diving,14
GK Handling,14
GK Kicking,7
GK Positioning,9
GK Reflexes,15
Heading,79
Interceptions,78
Jumping,89
Long Pass,63
Long Shots,49
Marking,78
Penalties,59
Power Header,1
Reactions,74
Short Pass,63
Shot Power,63
Slide Tackle,79
Sprint Speed,70
Stamina,63
Stand Tackle,78
Strength,1
Vision,59
Volleys,47
age,['24']
attacking_work_rate,Medium
defensive_work_rate,Medium
potential,83
rating,79
skill_moves,2
weak_foot,3
