Acceleration,65
Aggression,86
Agility,65
Att. Position,41
Balance,61
Ball Control,66
Composure,75
Crossing,52
Curve,22
Dribbling,62
FK Acc.,49
Finishing,32
GK Diving,13
GK Handling,11
GK Kicking,9
GK Positioning,11
GK Reflexes,7
Heading,81
Injury Prone,1
Interceptions,84
Jumping,78
Long Pass,70
Long Shots,47
Marking,80
Penalties,51
Power Header,1
Reactions,76
Short Pass,76
Shot Power,54
Slide Tackle,83
Sprint Speed,66
Stamina,62
Stand Tackle,83
Strength,75
Team Player,1
Vision,56
Volleys,35
age,['33']
attacking_work_rate,Medium
defensive_work_rate,High
potential,82
rating,82
skill_moves,2
weak_foot,3
